label,message
spam,WINNER!! You have been selected as a lucky winner. Call now to claim your FREE prize.
spam,FREE entry in 2 a wkly comp to win FA Cup final tkts. Text FA to 87121 to enter.
spam,Congratulations! You won a 1000 dollar gift card. Click here to claim your reward now.
spam,URGENT! Your account has been compromised. Send your PIN immediately to verify identity.
spam,You have won a lottery of 5000 dollars. Reply with your bank details to claim your cash.
spam,"Get rich quick! Earn 5000 dollars a day working from home. Guaranteed income, no experience."
spam,Your mobile number has been selected for a FREE prize. Call 0800-PRIZE now to claim!
spam,Limited offer: Buy now and get 90% off. This deal expires in 1 hour! Act immediately.
spam,Nigerian Prince needs your help to transfer 10 million dollars. You receive 30% commission.
spam,SIX chances to win CASH! Prizes from 100 to 20000 pounds. Text CSH11 to 87575 to win.
spam,Act now! Send us your credit card number to activate your exclusive premium account today.
spam,You are pre-approved for a 50000 dollar loan. No credit check required. Apply online now.
spam,Claim your FREE iPhone now! Just pay a small shipping fee and it is all yours. Hurry!
spam,Investment opportunity! Double your money in 30 days guaranteed. Risk-free returns await.
spam,Alert: Your bank account has been locked. Verify your identity immediately via this link.
spam,"Congratulations dear customer, you have been chosen for our exclusive lucky draw prize."
spam,FREE prize waiting for you! Reply YES to claim your 500 pound cash reward today.
spam,Your account will be suspended unless you verify your details at this link immediately.
spam,You have been selected to receive a 100 pound supermarket voucher. Reply to claim now.
spam,IMPORTANT: Your credit card is at risk. Call 0800-FRAUD to secure your account immediately.
spam,Win a brand new car! You are one of 10 lucky finalists. Call now to confirm your entry.
spam,Exclusive deal for you! Send money now and earn 300 percent returns in just 7 days.
spam,Final notice: You owe taxes. Pay immediately to avoid arrest. Call 1-800-IRS now.
spam,Virus detected on your phone! Download our security app immediately to protect yourself.
spam,You have qualified for a free government grant of 10000 dollars. No repayment needed ever.
spam,Click this link to verify your PayPal account or it will be permanently closed tomorrow.
spam,Earn 500 dollars per hour completing simple surveys online. Register free at surveywin.com.
spam,Your parcel could not be delivered. Pay a 2 pound re-delivery fee at this link right now.
spam,"Cheap medications available without prescription! Viagra, Cialis, and more. Order online."
spam,Lose 30 pounds in 30 days with our miracle pill. Guaranteed or your money back immediately.
ham,"Hey, are you coming to the Digital Forensics lecture tomorrow morning at 8am?"
ham,"I will be home around 7pm tonight, can you please start dinner before I arrive?"
ham,The assignment deadline has been extended to next Friday by Professor Ahmad.
ham,Can we reschedule our group meeting to 3pm instead of the original 2pm time slot?
ham,Did you check the study notes I sent you last night for the cybersecurity exam tomorrow?
ham,See you at the university library at 5pm. Please bring your laptop and charger.
ham,"Mom called this afternoon, she wants us to come for dinner at home on Sunday."
ham,The lab report on file system forensics is due tomorrow. Have you finished writing yours?
ham,"Let me know when you reach the station, I will come pick you up in the car."
ham,Good morning! Hope you are doing well and ready for the project presentation today.
ham,The professor cancelled the 9am class today due to a faculty meeting scheduled.
ham,Are you free this weekend? We are planning a small get-together at the hostel.
ham,"Thanks for your help with the Wireshark lab yesterday, really appreciated your patience."
ham,What time does the university bus leave tomorrow for the industrial visit trip?
